objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,temp1,temp2,temp3
grinnell_5002,101,,,Black Expressions,,1969-03,"Booker T. Carter '71, Ernest T. Weston '71, Gregory M. Coggs '70, and Frank E. Thomas '71. were active in CBS. This photo, and other Black Expressions photos were in a brochure CBS created to let prospective Black students know what to expect from Grinnell College.",Life at Grinnell for Black Students,Booker T. Carter '71; Ernest T. Weston '71; Gregg Coggs '69; Frank Thomas '71,The Forum,41.747258426624576,-92.72019799,Grinnell College,grinnell:5002,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-5002.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-5002_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-5002_TN.jpg,,,,,
grinnell_5045,25,,,Black Expressions 34,,1972-04,"Photo of Allen S. Hammond '72 and Duane T. Taylor '73. This photo, and other Black Expressions photos were in a brochure CBS created to let prospective Black students what to expect from Grinnell College. The Black Manifesto’s stated that “We demand that this administration establish a Black community with no less that 200 representatives taken from all walks of life of Black people, and that the responsibility of for the establishment of this community be co-shared by the present black community.”",Life at Grinnell for Black Students,Allen Hammond ‘72;  Duane Taylor '73,Grinnell College,41.7485168518476,-92.71979713273882,Grinnell College,grinnell:5045,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-5045.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-5045_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-5045_TN.jpg,,,,,
dg_1712600270,104,,Libby's additions,Black Expressions p.6,George T Henery,1969-04-12,"Two black students studying in burling. This photo, and other Black Expressions photos were in a brochure CBS created to let prospective Black students what to expect from Grinnell College.",Burling Library;Life at Grinnell for Black Students,,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,,Image;StillImage,image/jpeg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600270.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600270_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600270_TN.jpg,,,,,
grinnell_5759,4,,,Black Martyr's Weekend,Office of College Relations,1971,Val Gray Ward speaking at Grinnell’s third Black Martyr's Weekend. Celestine Bloomfield ‘71 wrote in the Scarlet and Black student newspaper that Ward gave a “stirring rendition of James Weldon Johnson's The Creation”,Life at Grinnell for Black Students;Concerned Black Students (CBS),,Herrick Chapel,41.74759389,-92.72195262,Grinnell College,grinnell:5759,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-5759.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-5759_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-5759_TN.jpg,,,,,
grinnell_5760,5,,,"Black Martyr's Weekend, 1971",Office of College Relations,1971,"Dick Gregory speaking at the Black Martyr's Weekend, 1971.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Herrick Chapel,41.74759389,-91.72195262,Grinnell College,grinnell:5760,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-5760.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-5760_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-5760_TN.jpg,,,,,
dg_1712600271,86,,Libby's additions,Black Martyrs' program April 28-30 1972,Jon Gray,,"Milton Rolland, Sybille Scott, and Diane Jones enjoy the Black Martyrs' program outside Burling. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students,Milton P. Rolland '75; Sybill Scott; Dianne Jones,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,,Image;StillImage,image/jpeg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600271.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600271_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600271_TN.jpg,,,,,
grinnell_10556,32,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 1/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,The Forum,41.747258426624576,-92.72019799,Grinnell College,grinnell:10556,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10556.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10556_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10556_TN.jpg,,,,,
grinnell_10565,41,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 10/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,The Forum,41.747258426624576,-92.72019799,Grinnell College,grinnell:10565,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10565.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10565_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10565_TN.jpg,,,,,
grinnell_10566,42,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 11/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Herrick Chapel,41.74759389,-87.72195262,Grinnell College,grinnell:10566,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10566.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10566_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10566_TN.jpg,,,,,
grinnell_4957,31,,"This is a compound parent with 12 .tiff children, grinnell:10556-10567","Black Martyrs' Weekend (April 28-30, 1972) - 12 Photos",,1972-04-28,"This is a series of photographs taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Grinnell College,41.74877560374103,-92.72139543974157,Grinnell College,grinnell:4957,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,,,,
grinnell_10567,43,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 12/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Grinnell College,41.74877560374103,-92.72139543974157,Grinnell College,grinnell:10567,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10567.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10567_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10567_TN.jpg,,,,,
grinnell_10557,33,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 2/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,grinnell:10557,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10557.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10557_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10557_TN.jpg,,,,,
grinnell_10558,34,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 3/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,The Forum,41.747258426624576,-92.72019799,Grinnell College,grinnell:10558,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10558.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10558_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10558_TN.jpg,,,,,
grinnell_10559,35,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 4/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,The Forum,41.747258426624576,-92.72019799,Grinnell College,grinnell:10559,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10559.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10559_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10559_TN.jpg,,,,,
grinnell_10560,36,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 5/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Herrick Chapel,41.74759389,-89.72195262,Grinnell College,grinnell:10560,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10560.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10560_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10560_TN.jpg,,,,,
grinnell_10561,37,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 6/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Herrick Chapel,41.74759389,-88.72195262,Grinnell College,grinnell:10561,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10561.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10561_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10561_TN.jpg,,,,,
grinnell_10562,38,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 7/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Grinnell College,41.74877560374103,-92.72139543974157,Grinnell College,grinnell:10562,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10562.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10562_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10562_TN.jpg,,,,,
grinnell_10563,39,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 8/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972. Events of the 4th Black Martyrs Weekend included a poetry reading by renowned poet Gwendolyn Brooks, a speech delivered by “radical” Christian theologian James Cone, informal lectures (referred to as rap sessions) with journalist Lutrelle Palmer and Revolutionary Workers Union spokesman James Boggs, and a dance featuring a Chicago band, Rasputin Stash.",Life at Grinnell for Black Students;Concerned Black Students (CBS),,Grinnell College,41.74877560374103,-92.72139543974157,Grinnell College,grinnell:10563,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10563.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10563_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10563_TN.jpg,,,,,
